sample_ID,Bacteria;Abditibacteriota;Abditibacteria,Bacteria;Acidobacteriota;Aminicenantia,Bacteria;Acidobacteriota;Blastocatellia,Bacteria;Acidobacteriota;Subgroup 5,Bacteria;Actinobacteriota;Acidimicrobiia,Bacteria;Actinobacteriota;Actinobacteria,Bacteria;Actinobacteriota;Coriobacteriia,Bacteria;Actinobacteriota;Thermoleophilia,Bacteria;Bacteroidota;Bacteroidia,Bacteria;Bdellovibrionota;Bdellovibrionia,Bacteria;Bdellovibrionota;Oligoflexia,Bacteria;Campilobacterota;Campylobacteria,Bacteria;Chloroflexi;Anaerolineae,Bacteria;Cyanobacteria;Cyanobacteriia,Bacteria;Cyanobacteria;Vampirivibrionia,Bacteria;Dependentiae;Babeliae,Bacteria;Desulfobacterota;Desulfovibrionia,Bacteria;Desulfobacterota;Desulfuromonadia,Bacteria;Elusimicrobiota;Elusimicrobia,Bacteria;Elusimicrobiota;Lineage IIa,Bacteria;Fibrobacterota;Fibrobacteria,Bacteria;Firmicutes;Bacilli,Bacteria;Firmicutes;Clostridia,Bacteria;Firmicutes;Incertae Sedis,Bacteria;Firmicutes;Limnochordia,Bacteria;Firmicutes;Moorellia,Bacteria;Firmicutes;Negativicutes,Bacteria;Firmicutes;uncultured,Bacteria;Fusobacteriota;Fusobacteriia,Bacteria;Myxococcota;Polyangia,Bacteria;Myxococcota;bacteriap25,Bacteria;Nitrospirota;Nitrospiria,Bacteria;Patescibacteria;Saccharimonadia,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria;Spirochaetota;Brachyspirae,Bacteria;Spirochaetota;Spirochaetia,Bacteria;Synergistota;Synergistia,Bacteria;Verrucomicrobiota;Lentisphaeria,Bacteria;Verrucomicrobiota;Verrucomicrobiae,label
H26884,0,0,0,0,0,3,319,0,2680,0,0,0,0,0,18,0,1,0,0,0,0,2150,3681,0,0,0,1200,0,0,0,0,0,0,0,12,7,0,0,0,0,1
H18134,0,0,0,0,0,8,454,0,5808,0,0,0,0,0,0,0,0,0,0,0,0,1553,8623,0,0,0,1058,0,0,0,0,0,6,0,989,0,0,0,0,0,0
H25869,0,0,0,0,0,2,80,0,9083,0,0,0,0,0,8,0,5,0,0,0,0,1065,7556,32,0,0,544,0,0,0,0,0,0,0,5864,0,0,0,0,1,1
H34106,0,0,0,0,0,11,451,0,8058,0,0,0,0,0,10,0,260,0,0,0,0,389,5042,8,0,0,55,0,2,0,0,0,0,15,6215,0,0,7,0,3,1
H26084,0,0,0,0,0,6,182,0,8282,0,0,0,0,0,5,0,62,0,0,0,0,312,4974,0,0,0,1354,0,1,0,0,0,0,0,1663,0,0,1,0,0,0
H27985,0,0,0,0,0,5,157,0,9136,0,0,2,0,0,0,0,18,0,0,0,0,1447,5233,2,0,0,372,1,0,0,0,0,0,0,123,0,0,0,0,0,1
H25810,0,0,0,0,0,1,34,0,6866,0,0,0,0,0,0,0,14,0,0,0,0,164,4379,0,0,0,608,0,1,0,0,0,0,0,291,0,0,0,0,2,0
H27437,0,0,0,0,0,1,100,0,12386,0,0,0,0,0,0,0,24,0,0,0,0,172,9429,10,0,0,2529,0,2,0,0,0,1,0,1031,0,0,0,0,1,0
H18256,0,0,0,0,0,4,306,0,9931,0,0,0,0,0,1,0,2,0,0,0,0,724,8922,1,2,0,193,0,0,0,0,0,1,0,218,0,0,0,2,0,0
H25863,0,0,0,0,0,16,362,0,7586,0,0,0,0,0,0,0,0,0,0,0,0,475,10515,0,0,0,2422,0,0,0,0,0,2,0,9434,0,0,0,0,11,1
H30916,0,0,0,0,0,11,1016,0,9211,0,0,0,0,0,0,0,11,0,0,0,0,1121,6123,0,0,0,14,0,0,0,0,0,0,0,3659,5377,0,0,0,0,0
H27107,0,0,0,0,0,14,124,0,15279,0,0,23,0,0,0,0,434,0,0,0,0,462,13236,1,0,0,3125,0,0,0,0,0,0,1,978,0,0,0,0,1,0
H26786,0,0,0,0,0,13,683,0,1635,0,0,0,0,0,0,0,9,0,0,0,0,733,6303,0,0,0,255,0,5,0,0,0,0,0,1626,0,0,0,0,0,0
H27087,0,0,0,0,0,6,141,0,10527,0,0,0,0,0,0,0,36,0,0,0,0,651,6075,0,0,0,3631,0,0,0,0,0,0,0,2077,0,0,0,0,0,0
H25799,0,0,0,0,0,20,671,0,8628,0,0,0,0,0,0,0,213,0,0,0,0,150,6961,0,0,0,1658,0,0,0,0,0,0,0,1553,0,0,0,0,0,0
H27376,0,0,0,0,0,1,71,0,17129,0,0,0,0,0,15,0,2,0,0,0,0,199,7665,0,0,0,1196,0,0,0,0,0,0,4,4203,0,0,0,0,0,0
H27370,0,0,0,0,0,14,460,0,3616,0,0,0,0,0,73,0,35,0,0,0,0,1256,16738,0,0,0,4536,0,0,2,0,0,0,0,2339,0,0,0,0,0,0
H25782,0,0,0,0,1,11,766,0,8585,0,0,0,0,0,0,0,31,0,0,0,0,1102,5117,4,0,0,100,0,0,0,0,0,0,2,15503,0,0,0,0,0,0
H28007,0,0,0,0,0,26,94,19,904,0,0,0,0,0,0,0,0,0,0,0,0,468,13656,0,0,0,80,0,0,0,0,0,0,0,39,0,0,0,0,0,0
H25970,0,0,0,0,0,16,110,0,15133,0,0,0,0,0,68,0,0,0,0,0,0,424,7547,0,0,0,2646,0,0,1,0,0,0,0,3682,0,0,0,0,0,0
H30963,0,0,16,0,0,109,923,0,2673,0,14,0,0,0,0,0,16,0,0,0,0,8570,9237,0,0,0,125,0,0,0,0,0,0,9,509,0,13,0,0,0,0
H28032,0,0,0,0,0,1,25,0,8336,0,0,2,0,0,0,0,6,0,0,0,0,228,11070,2,1,0,1208,0,0,0,0,0,0,0,237,0,0,0,0,0,0
H27402,0,0,0,0,0,74,1846,0,6775,0,0,10,0,0,1,0,67,0,0,0,0,717,18377,0,0,0,8790,0,0,0,0,0,15,0,3126,0,0,0,0,0,0
H18201,0,0,0,0,0,3,173,0,4886,0,0,0,0,0,153,0,190,0,0,0,0,1292,7045,13,0,0,402,8,0,0,0,0,0,0,217,0,0,0,0,5,0
H25832,0,0,0,0,0,3,345,0,4373,0,0,0,0,0,4,0,6,0,0,0,0,1340,4442,0,0,0,3680,0,0,0,0,0,0,0,195,0,0,0,0,0,1
H28043,0,0,0,0,0,0,848,0,16083,0,0,0,0,0,0,0,0,0,0,0,0,949,16818,0,8,0,488,0,0,0,0,0,7,0,139,0,0,0,0,1,0
H26575,0,0,0,0,0,11,281,0,3319,0,0,0,0,0,0,0,93,0,0,0,0,128,4757,0,0,0,2197,0,0,0,0,0,1,2,21,0,0,1,0,0,0
H25988,0,0,0,0,0,9,185,0,12339,0,0,0,0,0,0,0,54,0,0,0,0,624,6128,0,0,0,2830,0,0,0,0,0,0,5,502,0,0,0,0,0,0
H32784,0,0,0,0,0,1,193,0,6757,0,0,0,0,0,8,0,92,0,0,0,0,568,7618,12,2,0,1504,0,0,0,0,0,1,0,2176,0,0,0,0,0,0
H30968,0,0,0,0,0,31,494,0,10224,0,0,0,0,0,0,0,99,0,0,0,0,315,4689,0,1,0,842,0,0,0,0,0,0,0,4449,0,0,0,0,0,0
H26609,0,0,0,0,0,3,44,0,3309,0,0,0,0,0,0,0,10,0,0,0,0,195,3657,0,0,0,235,0,0,0,0,0,1,1,97,0,0,0,0,0,0
H26613,0,0,0,0,0,14,55,0,5274,0,0,0,0,0,0,0,316,0,0,0,0,700,2567,0,0,0,585,0,0,0,0,0,0,0,1061,0,0,0,0,0,0
H25798,0,0,0,0,0,1,229,0,9521,0,0,0,0,0,0,0,3,0,0,0,0,252,3694,2,0,0,10273,0,0,0,0,0,2,0,118,0,0,0,0,0,0
H21541,0,0,0,0,0,1,225,0,3526,0,0,0,0,0,0,0,17,0,0,0,0,423,6648,0,0,0,4515,0,0,0,0,0,0,0,171,0,0,0,0,0,0
H27140,0,0,0,0,0,0,7,0,9378,0,0,0,0,0,4,0,51,0,0,0,0,676,6759,7,0,0,732,0,0,0,0,0,0,1,791,0,0,0,0,1,0
H27385,0,0,0,0,0,0,57,0,14845,0,0,0,0,0,25,0,3,0,0,0,0,82,8830,0,0,0,1623,0,0,0,0,0,1,10,1214,0,0,0,0,0,0
H18324,0,0,0,0,0,3,99,0,7077,0,0,0,0,0,0,0,61,0,0,0,0,523,3570,0,0,0,82,0,0,0,0,0,0,0,3065,0,0,0,0,0,0
H26765,0,0,0,0,0,2,315,0,13491,0,0,0,0,0,0,0,7,0,0,0,0,267,3905,0,0,0,197,0,2,0,0,0,0,0,138,0,0,0,0,0,0
H27116,0,0,0,0,0,5,57,0,11567,0,0,0,0,0,0,0,280,0,0,0,0,377,4458,0,0,0,7437,0,0,0,0,0,0,0,4010,0,0,0,0,0,0
H25800,0,0,0,0,0,8,282,0,8744,0,0,0,0,0,63,0,113,0,0,0,0,432,8021,4,2,0,631,0,0,0,0,0,4,4,1345,0,0,0,0,0,0
H26916,0,0,0,0,0,2,43,0,3932,0,0,0,0,0,0,0,102,0,0,0,0,280,4792,0,0,0,687,0,0,0,0,0,0,0,471,0,0,0,0,0,1
H25895,0,0,0,0,0,18,119,0,7062,0,0,0,0,0,28,0,26,0,0,0,0,988,5696,0,0,0,317,0,0,0,0,0,0,4,8060,0,0,0,0,1,0
H30944,0,0,0,0,0,21,638,0,2330,0,0,0,0,0,0,0,1,0,0,0,0,5569,10854,0,0,0,42,0,0,0,0,0,0,0,20025,0,0,2,0,0,0
H21549,0,0,0,0,0,2,87,0,2931,0,0,0,0,0,34,0,172,0,0,0,0,2390,5240,0,0,0,89,3,0,0,0,0,2,0,134,0,0,0,0,0,0
H27961,0,0,0,0,0,0,49,0,8662,0,0,0,0,0,0,0,2,0,0,0,0,66,2563,0,0,0,204,0,0,0,0,0,0,0,469,0,0,0,0,0,0
H25997,0,0,0,0,0,3,1589,0,1465,0,0,0,0,0,0,0,0,0,0,0,0,370,8446,0,0,0,1050,0,0,0,0,0,5,4,9546,0,0,0,0,0,0
H31091,0,0,0,0,0,2,215,0,7100,0,0,0,0,0,50,0,57,0,0,0,0,154,5585,0,1,0,989,0,2,0,0,0,1,3,1173,0,0,2,0,6,0
H25897,0,0,0,0,0,3,77,0,16065,0,0,0,0,0,0,0,0,0,0,0,0,364,4939,0,0,0,80,0,0,0,0,0,0,0,163,0,0,0,0,0,1
H18364,0,0,0,0,0,5,234,0,6824,0,0,0,0,0,8,0,200,0,0,0,0,300,5275,0,0,0,379,0,0,0,0,0,1,1,2241,0,0,0,0,0,0
H26607,0,0,0,0,0,0,85,0,3343,0,0,0,0,0,0,0,42,0,0,0,0,106,2231,0,0,0,427,0,0,0,0,0,0,0,1088,0,0,0,0,0,0
H28020,0,0,0,0,0,2,50,0,10653,0,0,0,0,0,140,0,230,0,0,0,0,503,8309,0,0,0,1999,0,0,0,0,0,2,4,13109,0,0,0,0,0,0
H27096,0,0,0,0,0,128,520,0,6265,0,0,0,0,0,0,0,0,1,0,0,0,3082,12197,0,0,0,5354,0,0,0,0,0,8,0,605,0,0,0,0,0,1
H18199,0,0,0,0,0,0,112,0,7198,0,0,0,0,0,5,0,7,0,0,0,0,645,4639,0,2,0,1934,0,19,0,0,0,0,0,74,0,0,0,0,0,0
H30932,0,0,0,0,0,16,161,0,5941,0,0,0,0,0,6,0,0,0,0,0,0,2661,11621,0,0,0,90,0,0,0,0,0,1,4,3564,0,0,0,0,2,0
H25791,0,0,0,0,0,2,18,0,7820,0,0,0,0,0,0,0,2,0,0,0,0,396,8867,0,0,0,2603,0,0,0,0,0,2,11,317,0,0,0,0,3,0
H21545,0,0,0,0,0,18,113,0,8433,0,0,0,0,0,507,0,80,0,0,0,0,270,5387,0,0,0,282,0,0,0,0,0,4,1,435,0,0,0,0,0,0
H25760,0,0,0,0,0,11,328,0,10622,0,0,0,0,0,1,0,17,0,0,0,0,1030,7333,0,0,0,160,0,0,0,0,0,2,2,4769,0,0,0,0,0,0
H27915,0,0,0,0,0,3,77,0,10179,0,0,0,0,0,0,0,23,0,0,0,0,145,5626,0,0,0,225,0,0,0,0,0,0,0,27,0,0,0,0,0,0
H26773,0,0,0,0,0,9,96,0,10296,0,0,0,0,0,0,0,4,0,0,0,0,592,3211,0,0,0,2186,0,0,0,0,0,1,0,155,0,0,0,0,0,0
H27109,0,0,0,0,0,1,138,0,9174,0,0,0,0,0,0,0,28,0,0,0,0,413,11310,0,0,0,2764,0,0,0,0,0,0,1,2182,0,0,0,0,5,0
H26893,0,0,0,0,0,11,3,0,8711,0,0,0,0,0,0,0,36,0,0,0,0,168,3175,0,0,0,2296,0,0,0,0,0,0,0,5833,0,0,0,0,0,0
H25780,0,0,0,0,0,2,153,0,7047,0,0,0,0,0,43,0,9,0,0,0,0,268,5370,0,0,0,950,0,0,0,0,0,0,0,4719,0,0,0,0,0,0
H26699,0,0,0,0,0,9,210,0,386,0,0,4,0,0,0,0,11,0,0,0,0,241,6135,0,0,0,2543,0,0,0,0,0,0,0,1388,0,0,0,0,4,0
H27401,0,0,0,0,0,6,169,0,3421,0,0,0,0,0,21,0,11,0,0,0,0,1133,18476,0,0,0,412,0,0,0,0,0,12,2,157,0,0,0,0,0,0
H18155,0,0,0,0,0,10,550,0,2932,0,0,0,0,0,6,0,1,0,0,0,0,1618,5384,0,0,0,23,0,0,0,0,0,3,0,84,0,0,0,0,0,0
H18382,0,0,0,0,0,11,208,0,6175,0,0,0,0,0,0,0,494,0,0,0,0,126,3759,0,0,0,2681,0,4,0,0,0,2,2,677,0,0,0,0,0,0
H32773,0,0,0,0,0,27,687,0,6030,0,0,0,0,0,0,0,60,0,0,0,0,1053,4334,0,0,0,3238,0,0,0,0,0,1,0,3056,0,0,0,0,0,1
H18360,0,0,0,0,0,7,49,0,6180,0,0,0,0,0,13,0,222,0,0,0,0,482,2738,1,0,0,627,0,0,0,0,0,1,0,208,0,0,0,0,0,0
H27198,0,0,0,0,0,4,45,0,7637,0,0,0,0,0,35,0,3,0,0,0,0,832,10891,10,0,0,1589,0,0,0,0,0,1,0,796,31,0,1,0,2,0
H18255,0,0,0,0,0,3,194,0,5983,0,0,19,0,0,105,0,85,0,0,0,0,506,8717,0,0,0,1335,0,0,0,0,0,0,0,861,0,0,0,0,1,0
H26090,0,0,1,0,0,8,253,0,2173,0,0,0,0,0,0,0,0,0,0,0,0,336,6052,0,0,0,3855,0,1,0,0,0,0,0,39,0,0,0,0,0,1
H26107,0,0,0,0,0,31,914,0,3618,0,0,0,0,0,0,0,41,0,0,0,0,1853,9489,0,0,0,3266,0,0,0,0,0,0,0,1594,0,0,0,0,0,0
H18302,0,0,0,0,0,17,1213,0,2722,0,0,0,0,0,0,0,85,0,0,0,0,1328,7302,0,0,0,329,0,0,0,0,0,0,0,117,0,0,0,0,0,0
H21521,0,0,0,0,0,7,45,0,1916,0,0,0,0,0,107,0,2,0,0,0,1,148,1892,0,0,0,42,0,0,0,0,0,0,0,1602,0,0,0,0,1,1
H25804,0,0,0,0,0,2,264,0,4556,0,0,0,0,0,0,0,7,0,0,0,0,942,6382,0,0,0,722,0,0,0,0,0,0,0,148,0,0,0,0,8,1
H21565,0,0,0,0,0,10,252,0,7449,0,0,1,0,0,4,0,4,0,0,0,0,508,8383,0,0,0,1255,0,0,0,0,0,7,0,591,0,0,0,0,0,0
H26004,0,0,0,0,0,17,567,0,12719,0,0,0,0,0,0,0,110,0,0,0,0,2360,5934,0,0,0,334,0,0,0,0,0,15,0,11855,0,0,0,0,0,0
H26037,0,0,0,0,0,14,1342,0,3054,0,0,0,0,0,0,0,165,0,0,0,0,527,6373,0,0,0,4571,0,0,0,0,0,6,0,351,0,0,0,0,0,0
H18188,0,0,0,0,0,5,44,0,3725,0,0,0,0,0,0,0,28,0,0,0,0,66,5073,1,0,0,825,0,0,0,0,0,0,4,576,0,0,0,0,2,0
H27133,0,0,0,0,0,0,74,0,9260,0,0,0,0,0,129,0,80,0,0,0,0,441,6475,10,0,0,429,0,0,0,0,0,0,0,5851,0,0,0,0,0,1
H18224,0,0,0,0,0,3,268,0,8572,0,0,0,0,0,87,0,3,0,0,0,0,1081,9039,1,0,0,229,0,0,0,0,0,10,0,56,0,0,0,0,0,0
H18271,0,0,0,0,0,18,1761,0,5780,0,0,0,0,0,0,0,200,0,0,0,0,2231,10685,14,4,0,326,0,0,0,0,0,7,0,315,0,0,0,0,1,0
H26718,0,0,0,0,0,1,115,0,5454,0,0,0,0,0,0,0,7,0,0,0,0,110,5628,0,0,0,932,0,0,0,0,0,0,1,63,0,0,0,0,1,0
H27316,0,0,0,0,0,0,15,0,970,0,0,0,0,0,1,0,31,0,0,0,0,433,10675,0,0,0,4288,0,2,0,0,0,4,0,14844,0,0,0,0,0,0
H26878,0,0,0,0,0,76,87,0,5189,0,0,0,0,0,0,0,14,0,0,0,0,924,6995,0,0,0,262,0,0,0,0,0,0,0,565,0,0,0,0,0,0
H25996,0,0,0,0,0,10,633,0,10045,0,0,0,0,0,3,0,168,0,0,0,0,245,10758,0,0,0,4813,0,0,0,0,0,1,0,7046,0,0,0,0,0,1
H18249,0,0,0,0,0,83,697,0,6949,0,0,0,0,0,0,0,5,0,0,0,0,962,8584,0,0,0,349,0,0,0,0,0,23,4,1715,0,0,0,0,0,0
H27386,0,0,0,0,0,11,95,0,4036,0,0,0,0,0,0,0,36,0,0,0,0,696,13550,0,0,0,10623,0,0,0,0,0,0,0,1259,0,0,0,0,0,0
H25841,0,0,0,0,0,3,523,0,8048,0,0,0,0,0,0,0,0,0,0,0,0,38,4486,0,0,0,2059,0,0,0,0,0,1,0,67,0,0,0,0,0,0
H27216,0,0,0,0,0,3,132,0,15812,0,0,0,0,0,0,0,0,0,0,0,0,396,8107,0,0,0,3109,0,0,1,0,0,33,1,3982,0,0,0,0,0,0
H26827,0,0,0,0,0,4,532,0,2670,0,0,0,0,0,116,0,1,0,0,0,0,343,4953,0,0,0,531,0,0,0,0,0,0,1,127,0,0,0,0,0,1
H26854,0,0,0,0,0,0,37,0,5555,0,2,0,0,0,205,0,19,0,0,0,0,1626,3450,3,0,0,56,0,0,0,0,0,0,1,847,0,0,0,0,0,0
H18328,0,0,0,0,0,3,28,0,7132,0,0,0,0,0,20,0,0,0,0,0,0,43,2925,7,0,0,579,0,0,0,0,0,0,0,486,0,0,0,0,0,0
H27103,0,0,0,0,0,21,17,0,10284,0,0,4,0,0,0,0,581,0,0,0,0,123,12687,0,0,0,72,0,0,0,0,0,0,0,1205,0,0,0,0,0,0
H26061,0,0,0,0,0,7,74,0,7047,0,0,0,0,0,1,0,0,0,0,0,0,209,2566,0,0,0,26,0,0,0,0,0,0,0,2454,0,0,0,0,5,0
H27384,0,0,0,0,0,9,384,0,6862,0,0,0,0,0,195,0,41,0,0,0,0,2332,9268,0,0,0,4759,0,0,0,0,0,0,1,1063,111,0,0,0,0,0
H26840,0,0,0,0,0,10,50,0,4628,0,0,0,0,0,0,0,6,0,0,0,0,195,2186,0,0,0,1317,0,3,0,0,0,1,0,399,0,0,0,0,0,1
H27279,0,0,0,0,0,7,293,0,1560,0,0,0,0,0,0,0,7,0,0,0,0,162,19476,1,0,0,5735,0,0,15,0,5,8,0,3155,0,0,0,0,0,0
H25989,0,0,0,0,0,2,147,0,10896,0,0,1,0,0,639,0,49,0,0,0,0,540,5448,2,0,0,674,2,0,0,0,0,0,0,2919,0,0,0,0,0,0
H27246,0,0,0,0,0,13,110,0,7216,0,0,0,0,0,0,0,2928,0,0,0,0,576,6261,0,0,0,834,0,0,0,0,0,13,0,4240,0,0,0,0,0,0
H27423,0,0,0,0,0,5,45,0,15316,0,0,0,0,0,0,0,42,0,0,0,0,311,10331,0,0,0,1182,0,0,0,0,0,7,0,138,0,0,0,0,0,0
H18277,0,0,0,0,0,20,201,0,2595,0,0,0,0,0,2,0,31,0,0,0,0,422,10701,0,0,0,2035,0,2,0,0,0,0,0,10,0,0,0,0,0,0
H18177,0,0,0,0,0,7,429,0,5954,0,0,1,0,0,14,0,15,0,0,0,0,665,7625,0,0,0,843,0,0,0,0,0,13,1,325,0,0,0,0,0,0
H31020,0,0,0,0,0,18,688,0,9838,0,0,0,0,0,0,0,203,0,0,0,0,782,5914,0,0,0,598,0,1,0,0,0,3,0,221,0,0,0,0,0,0
H26947,0,0,0,0,0,4,34,0,8834,0,0,9,0,0,0,0,13,0,0,0,0,64,5894,0,0,0,2473,0,0,0,0,0,0,0,1752,0,0,0,0,0,0
H26886,0,0,0,0,0,14,6,0,7643,0,0,0,0,0,0,0,0,0,0,0,0,84,2329,0,0,0,634,0,5,0,0,0,0,4,864,0,0,0,0,0,0
H18114,0,0,0,0,0,33,577,0,11565,0,0,0,0,0,0,0,2,0,0,0,0,1229,5091,0,0,0,2697,0,6,0,0,0,0,0,1655,0,0,0,0,0,0
H21547,0,0,0,0,0,5,420,0,5803,0,0,2,0,0,0,0,7,0,0,0,0,836,5397,0,0,0,21,0,0,0,0,0,2,1,115,0,0,0,0,0,0
H28001,0,0,0,0,0,12,379,0,12702,0,0,0,0,0,0,0,0,0,0,0,0,917,12214,0,0,0,591,0,0,0,0,0,0,0,2293,0,0,0,0,0,0
H18118,0,0,0,0,0,14,998,0,3838,0,1,0,0,0,14,0,9,0,0,0,0,1772,8678,0,0,0,24,0,3,0,0,0,0,1,466,0,0,0,0,0,0
H26785,0,0,0,0,8,14,673,0,555,0,0,0,0,0,0,0,15,0,0,0,0,182,5746,0,0,0,3732,0,0,8,0,0,9,0,296,0,0,0,0,0,0
H26103,0,0,0,0,0,42,622,0,5246,0,0,0,0,0,0,0,0,0,0,0,0,823,6583,0,0,0,128,0,0,0,0,0,7,3,1553,0,0,0,0,0,0
H26685,0,0,0,0,0,8,44,0,7472,0,0,13,0,0,0,0,24,5,0,0,0,51,3492,0,0,0,796,0,0,0,0,0,0,0,1230,0,0,0,0,0,0
H26003,0,0,0,0,0,5,66,0,10422,0,0,1,0,0,282,0,88,0,0,0,0,112,8870,0,0,0,2792,0,0,0,0,0,0,0,151,73,0,0,0,0,0
H26060,0,0,0,0,0,5,209,0,3639,0,0,0,0,0,0,0,0,0,0,0,0,76,4063,0,0,0,3069,0,0,0,0,0,0,0,774,0,0,1,0,14,0
H32821,0,0,0,0,0,1,72,0,15658,0,0,0,0,0,26,0,57,0,0,0,0,695,5605,8,0,0,441,0,0,0,0,0,1,0,39,0,0,0,0,0,0
H26757,0,0,0,0,0,8,107,0,4360,0,0,0,0,0,8,0,12,0,0,0,0,264,6437,2,0,0,1477,0,0,0,0,0,3,0,1259,0,0,0,0,0,0
H26949,0,0,0,0,0,5,205,0,8175,0,0,0,0,0,0,0,2,0,0,0,0,514,6302,0,0,0,1355,0,0,0,0,0,0,0,525,0,0,0,0,0,0
H27138,0,0,0,0,0,2,40,0,11155,0,0,0,0,0,0,0,9,0,0,0,0,218,7435,0,1,0,5886,0,0,0,0,0,0,2,80,0,0,0,0,4,0
H18203,0,0,0,0,0,5,125,0,7779,0,0,0,0,0,3,0,127,0,0,0,0,323,8115,0,2,0,1733,0,2,0,0,0,3,0,143,0,0,0,0,0,0
H18236,0,0,0,0,0,2,69,0,10778,0,0,0,0,0,31,0,62,0,0,0,0,1090,8083,9,0,0,159,3,0,0,0,0,0,0,414,0,0,0,0,0,0
H31083,0,0,0,0,0,0,792,0,7182,0,0,0,0,0,0,0,0,0,0,0,0,1006,7997,0,0,0,753,0,0,0,0,0,1,0,343,0,0,0,0,0,0
H27145,0,0,0,0,0,3,80,0,6595,0,0,0,0,0,0,0,16,0,0,0,0,865,9178,0,0,0,128,2,0,0,0,0,0,2,172,0,0,0,0,1,0
H27155,0,0,0,0,0,2,133,0,14845,0,0,5,0,0,0,0,386,0,0,0,0,312,6629,0,0,0,161,0,0,0,0,0,0,0,3804,0,0,0,0,0,0
H26845,0,0,0,0,0,8,118,0,4498,0,0,0,0,0,0,0,0,0,0,0,0,88,4038,0,0,0,2274,0,0,0,0,0,0,0,1249,0,0,0,0,0,0
